ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession
ARO:3001845	38245	861	433	ACT-25	ACT-25	AHL39338.1	KJ207208
ARO:3001847	38247	941	1484	ACT-27	ACT-27	AHL39340.1	KJ207209
ARO:3001848	38248	1018	1700	ACT-28	ACT-28	AHL39333.1	KJ207206
ARO:3001849	38249	1095	80	ACT-29	ACT-29	AIT76085.1	KM087832
ARO:3001823	38223	1177	1581	ACT-3	ACT-3	ABL67017.1	EF125013
ARO:3001850	38250	1263	241	ACT-30	ACT-30	AIT76086.1	KM087833
ARO:3001851	38251	1342	700	ACT-31	ACT-31	AIT76096.1	KM087843
ARO:3001852	38252	1419	1904	ACT-32	ACT-32	AIT76088.1	KM087835
ARO:3001853	38253	3684	2135	ACT-33	ACT-33	AIT76087.1	KM087834.1
ARO:3001855	38255	1584	9	ACT-35	ACT-35	BAP68758.1	LC004922
ARO:3003171	39748	1660	663	ACT-36	ACT-36	AJG06170.1	KM926621
ARO:3003172	39749	1735	257	ACT-37	ACT-37	AJG06172.1	KM926622
ARO:3001829	38229	1813	1495	ACT-4	ACT-4	ABZ81086.1	EU427302
ARO:3001824	38224	1893	1838	ACT-5	ACT-5	ACJ05689.1	FJ237369
ARO:3001825	38225	1972	1788	ACT-6	ACT-6	ACJ05686.1	FJ237366
ARO:3001830	38230	759	1959	ACT-7	ACT-7	ACJ05688.1	FJ237368
ARO:3001826	38226	819	1155	ACT-9	ACT-9	AEI70575.1	HQ693810
ARO:3003847	40544	3627	2334	ADC-1	ADC-1	WP_004714775.1	NG_048633.1
ARO:3003856	40555	3635	2342	ADC-12	ADC-12	WP_063857787.1	NG_048636
ARO:3003857	40556	3636	2343	ADC-13	ADC-13	WP_063857788.1	NG_048637.1
ARO:3003858	40557	3637	2344	ADC-14	ADC-14	WP_063857789.1	NG_048638
ARO:3003859	40558	3638	2345	ADC-15	ADC-15	WP_063857790.1	NG_048639
ARO:3003860	40559	3639	2346	ADC-16	ADC-16	WP_063857791.1	NG_048640.1
ARO:3003861	40560	3640	2347	ADC-17	ADC-17	WP_063857792.1	NG_048641.1
ARO:3003862	40561	3641	2348	ADC-18	ADC-18	WP_002118772.1	NG_048642
ARO:3003863	40562	3642	2349	ADC-19	ADC-19	WP_063857793.1	NG_048643.1
ARO:3003848	40545	3628	2335	ADC-2	ADC-2	WP_004746565.1	NG_048644.1
ARO:3003864	40563	3643	2350	ADC-20	ADC-20	WP_063857794.1	NG_048645
ARO:3003865	40564	3644	2351	ADC-21	ADC-21	WP_063857795.1	NG_048646
ARO:3003866	40565	3645	2352	ADC-22	ADC-22	WP_063857796.1	NG_048647.1
ARO:3003867	40566	3646	2353	ADC-23	ADC-23	WP_063857797.1	NG_048648.1
ARO:3003868	40567	3647	2354	ADC-25	ADC-25	WP_001211217.1	NG_048649.1
ARO:3003849	40547	3629	2336	ADC-3	ADC-3	WP_063857798.1	NG_048651
ARO:3003870	40569	3648	2355	ADC-31	ADC-31	WP_001211223.1	NG_050716.1
ARO:3003871	40570	3649	2356	ADC-39	ADC-39	WP_063857800.1	NG_048654.1
ARO:3003850	40548	3630	2337	ADC-4	ADC-4	WP_063857801.1	NG_048655.1
ARO:3003872	40571	3650	2357	ADC-41	ADC-41	WP_063857802.1	NG_048656.1
ARO:3003873	40572	3651	2358	ADC-42	ADC-42	WP_063857803.1	NG_048657.1
ARO:3003874	40573	3652	2359	ADC-43	ADC-43	WP_032055358.1	NG_048658.1
ARO:3003876	40575	3653	2360	ADC-44	ADC-44	WP_063857804.1	NG_048659.1
ARO:3003851	40549	3631	2338	ADC-5	ADC-5	WP_038405930.1	NG_048660.1
ARO:3003878	40577	3654	2361	ADC-56	ADC-56	WP_031973850.1	NG_048666.1
ARO:3003852	40551	3632	2339	ADC-6	ADC-6	WP_017725267.1	NG_048669.1
ARO:3003879	40578	3655	2362	ADC-61	ADC-61	WP_033503051.1	NG_048671.1
ARO:3003853	40552	3633	2340	ADC-7	ADC-7	WP_063857816.1	NG_048677.1
ARO:3003880	40579	3657	2363	ADC-74	ADC-74	WP_001211203.1	NG_048679.1
ARO:3003881	40580	3658	2364	ADC-75	ADC-75	WP_063857817.1	NG_048680.1
ARO:3003882	40581	3659	2365	ADC-76	ADC-76	WP_001211237.1	NG_048681.1
ARO:3003883	40582	3660	2366	ADC-77	ADC-77	WP_063857818.1	NG_048682.1
ARO:3003884	40583	3661	2367	ADC-78	ADC-78	WP_057691006.1	NG_048683.1
ARO:3003885	40584	3662	2368	ADC-79	ADC-79	WP_001159760.1	NG_048684.1
ARO:3003854	40553	4033	2341	ADC-8	ADC-8	CAL25116.3	AM293332.3
ARO:3003886	40585	3663	2369	ADC-80	ADC-80	WP_029424536.1	NG_048686.1
ARO:3003887	40586	3664	2370	ADC-81	ADC-81	WP_059262723.1	NG_048687.1
ARO:3003888	40587	3665	2371	ADC-82	ADC-82	WP_001211216.1	NG_050718.1
ARO:3000774	37154	4256	1313	adeA	adeA	AAL14439.1	AF370885.1
ARO:3000775	37155	4257	866	adeB	adeB	AAL14440.1	AF370885.1
ARO:3003811	40499	3839	337	adeC	adeC	ALX99516.1	CP013924.1
ARO:3000777	37157	4252	153	adeF	adeF	CAJ77856.1	CT025801.2
ARO:3000778	37158	4251	1226	adeG	adeG	CAJ77857.1	CT025800.2
ARO:3000779	37159	4253	542	adeH	adeH	CAJ77855.1	CT025802.2
ARO:3000780	37160	526	1471	adeI	adeI	YP_002320475.1	NC_011586
ARO:3000781	37161	1	630	adeJ	adeJ	AAX14802.1	AY769962
ARO:3000782	37162	674	1664	adeK	adeK	AAX14803.1	AY769962
ARO:3000620	36962	3988	2654	adeL	adeL	ALH22601.1	KR297239.1
ARO:3000559	36698	569	1880	adeN	adeN	AGV28567.1	KF147862
ARO:3000553	36692	711	456	adeR	adeR	ADM92605.1	HM440348
ARO:3000549	36688	596	183	adeS	adeS	ADM92606.1	HM440348
ARO:3002481	38881	901	1149	AER-1	AER-1	AAC09015.1	U14748
ARO:3000853	37233	1033	707	AIM-1	AIM-1	CAQ53840.1	AM998375
ARO:3002982	39416	4080	1542	amrA	amrA	YP_108403.1	NC_006350.1
ARO:3002983	39417	4079	476	amrB	amrB	YP_108402.1	NC_006350.1
ARO:3000230	36369	457	1372	ANT(2'')-Ia	ANT(2'')-Ia	AAC64365.1	AF078527
ARO:3004089	41195	4069	2752	ANT(3'')-IIa	ANT(3'')-IIa	EEX02086	GG704579.1
ARO:3002598	38998	16	339	ANT(3'')-Ii-AAC(6')-IId fusion protein	ANT(3'')-Ii-AAC(6')-IId fusion protein	AAL51021.2	AF453998
ARO:3004090	41196	4070	2754	ANT(3'')-IIb	ANT(3'')-IIb	ENU91137	APPC01000022.1
ARO:3004091	41197	4071	2755	ANT(3'')-IIc	ANT(3'')-IIc	ENU37733	APOM01000001.1
ARO:3002623	39023	185	1737	ANT(4')-Ia	ANT(4')-Ia	AAO83986.1	EF540343
ARO:3003905	40608	3702	2383	ANT(4')-Ib	ANT(4')-Ib	YP_006938491.1	NC_013342.1
ARO:3002624	39024	190	1266	ANT(4')-IIa	ANT(4')-IIa	AAA25717.1	M98270
ARO:3002625	39025	234	1329	ANT(4')-IIb	ANT(4')-IIb	AAM76670.1	AY114142
ARO:3002626	39026	3403	914	ANT(6)-Ia	ANT(6)-Ia	YP_008997281.1	NC_023287
ARO:3002629	39029	60	1113	ANT(6)-Ib	ANT(6)-Ib	CBH51824.1	FN594949
ARO:3002630	39030	495	1386	ANT(9)-Ia	ANT(9)-Ia	AFU35063.1	JX560992
ARO:3002634	39034	18	137	APH(2'')-Ie	APH(2'')-Ie	AAX38178.1	AY939911
ARO:3004191	41355	4188	2837	APH(2'')-If	APH(2'')-If	AAW34150.1	AY701528.1
ARO:3002669	39069	622	903	APH(2'')-Ig	APH(2'')-Ig	AGV10818.1	CP004067
ARO:3002635	39035	696	1615	APH(2'')-IIa	APH(2'')-IIa	AAK63040.1	AF337947
ARO:3002636	39036	181	1013	APH(2'')-IIIa	APH(2'')-IIIa	AAB49832.1	U51479
ARO:3002637	39037	729	384	APH(2'')-IVa	APH(2'')-IVa	AAC14693.1	AF016483
ARO:3002638	39038	91	1923	APH(3'')-Ia	APH(3'')-Ia	CAA37605.1	X53527
ARO:3002641	39041	279	291	APH(3')-Ia	APH(3')-Ia	CAE51638.1	BX664015
ARO:3002639	39039	545	1830	APH(3'')-Ib	APH(3'')-Ib	ABK33456.1	AF313472
ARO:3002642	39042	329	835	APH(3')-Ib	APH(3')-Ib	AAA26412.1	M20305
ARO:3002640	39040	276	2052	APH(3'')-Ic	APH(3'')-Ic	ABC68330.1	DQ336355
ARO:3002644	39044	3689	2114	APH(3')-IIa	APH(3')-IIa	WP_000572405.1	NG_047417.1
ARO:3002645	39045	159	954	APH(3')-IIb	APH(3')-IIb	CAA62365.1	X90856
ARO:3002646	39046	194	1018	APH(3')-IIc	APH(3')-IIc	ADQ43421.1	HQ424460
ARO:3002647	39047	233	1332	APH(3')-IIIa	APH(3')-IIIa	AGV10830.1	CP004067
ARO:3002648	39048	237	1260	APH(3')-IVa	APH(3')-IVa	CAA27061.1	X03364
ARO:3004087	41192	4068	2751	APH(3')-IX	APH(3')-IX	ENV34035	APPN01000061.1
ARO:3002649	39049	371	38	APH(3')-Va	APH(3')-Va	AAA26699.1	K00432
ARO:3002650	39050	407	1548	APH(3')-Vb	APH(3')-Vb	AAC32025.1	M22126
ARO:3002651	39051	470	687	APH(3')-Vc	APH(3')-Vc	AAB21326.1	S81599
ARO:3003687	40322	3387	2200	APH(3')-VI	APH(3')-VI	AGI04227.1	KC170992.1
ARO:3002652	39052	368	1121	APH(3')-VIa	APH(3')-VIa	CAA30578.1	X07753
ARO:3002654	39054	326	251	APH(3')-VIIa	APH(3')-VIIa	AAA76822.1	M29953
ARO:3004086	41190	4067	2750	APH(3')-VIII	APH(3')-VIII	EPF73263	ATGI01000028.1
ARO:3002655	39055	221	205	APH(4)-Ia	APH(4)-Ia	CAA24743.1	V01499
ARO:3002656	39056	262	1681	APH(4)-Ib	APH(4)-Ib	CAA52372.1	X74325
ARO:3002657	39057	94	1500	APH(6)-Ia	APH(6)-Ia	CAA68516.1	Y00459
ARO:3002658	39058	118	880	APH(6)-Ib	APH(6)-Ib	CAA29136.1	X05648
ARO:3002659	39059	404	892	APH(6)-Ic	APH(6)-Ic	CAA25854.1	X01702
ARO:3002660	39060	467	1031	APH(6)-Id	APH(6)-Id	AAC23556.1	AF024602
ARO:3002661	39061	600	706	APH(7'')-Ia	APH(7'')-Ia	CAA27276.1	X03615
ARO:3002662	39062	514	252	APH(9)-Ia	APH(9)-Ia	AAB58447.1	U94857
ARO:3002663	39063	650	1059	APH(9)-Ib	APH(9)-Ib	AAB66655.1	U70376
ARO:3003918	40626	3717	2395	apmA	apmA	CBL58181.1	FN806789.3
ARO:3002993	39427	1113	1711	AQU-1	AQU-1	BAM76830.1	AB765395
ARO:3000838	37218	704	1390	arlR	arlR	YP_001332362.1	NC_009641
ARO:3000839	37219	375	182	arlS	arlS	YP_499945.1	NC_007795
ARO:3000858	37238	3397	1405	armA	armA	ADC55560.1	GU437214.1
ARO:3004056	41121	4019	2688	ArmR	ArmR	NP_252408.1	NC_002516.2
ARO:3002985	39419	355	1643	arnA	arnA	AAC75315.1	U00096
ARO:3002985	39419	3373	1643	arnA	arnA	NP_252244	NC_002516.2
ARO:3002846	39280	393	1950	arr-1	arr-1	AAC05822.1	AF001493
ARO:3002847	39281	480	1116	arr-2	arr-2	AAC64366.1	AF078527
ARO:3002848	39282	707	743	arr-3	arr-3	ACD56151.1	EU675686
ARO:3002849	39283	524	173	arr-4	arr-4	ABV26705.1	EF660562
ARO:3002850	39284	567	547	arr-5	arr-5	ABV26707.1	EF660563
ARO:3002852	39286	603	736	arr-7	arr-7	CAZ48628.1	FN397623
ARO:3002853	39287	682	133	arr-8	arr-8	AGC29882.1	KC199968
ARO:3004143	41272	4133	2797	AxyX	AxyX	EGP45232.2	AFRQ01000061.1
ARO:3004144	41273	4135	2799	AxyY	AxyY	EGP45231.1	AFRQ01000061.1
ARO:3004145	41274	4134	2798	AxyZ	AxyZ	EGP45233.1	AFRQ01000061.1
ARO:3002986	39420	36	1820	bacA	bacA	AAC76093.1	U00096
ARO:3003072	39614	642	1240	Bacillus Cluster A intrinsic mph	Bacillus Cluster A intrinsic mph	EEL41021.1	ACMJ01000036
ARO:3003767	40436	3540	2277	Bacillus Cluster B intrinsic mph	Bacillus Cluster B intrinsic mph	EOO80837.1	AHEL01000071.1
ARO:3003324	39908	3342	1558	Bacillus subtilis mprF	Bacillus subtilis mprF	CAX52582.1	AL009126
ARO:3003788	40473	3558	2293	Bacillus subtilis pgsA mutations conferring resistance to daptomycin	Bacillus subtilis pgsA with mutation conferring resistance to daptomycin	BAA85265	AB016245
ARO:3000828	37208	676	1337	baeR	baeR	YP_490321.1	NC_007779
ARO:3000829	37209	608	986	baeS	baeS	BAA15934.1	AP009048
ARO:3003984	40866	3857	2521	BahA	BahA	APB03218.1	KX531048.1
ARO:3003297	39881	2058	984	Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones	Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones	AAL82403.1	AF469609
ARO:3003302	39886	2062	1360	Bartonella bacilliformis gyrB conferring resistance to aminocoumarin	Bartonella bacilliformis gyrB conferring resistance to aminocoumarin	WP_005768149.1	NC_008783
ARO:3003582	40192	3673	632	basR	basR	NP_253464.1	NC_002516.2
ARO:3003583	40193	3375	249	basS	basS	AEX49906.1	JQ340365
ARO:3002877	39311	1622	720	BcI	BcI	CAA29819.1	X06599
ARO:3002878	39312	1699	1336	BcII	BcII	AAA22562.1	M19530
ARO:3003801	40486	3570	2303	bcr-1	bcr-1	ALV80601.1	CP012901.1
ARO:3002987	39421	745	345	bcrA	bcrA	AAA99504.1	L20573
ARO:3002988	39422	585	944	bcrB	bcrB	AAA99505.1	L20573
ARO:3003250	39834	2050	215	bcrC	bcrC	AAA99503.1	L20573
ARO:3002385	38785	1193	1008	BEL-1	BEL-1	AAZ04368.1	DQ089809
ARO:3002386	38786	1280	1303	BEL-2	BEL-2	ACV69996.1	FJ666063
